name,album,num in album,is Explicit,num of words,duration in sec,path,num of obscenities
"This Love",1989,11,false,385,250,C:\Users\Ariel\Desktop\ProjectTaylor\1989\1989-11.txt,0
"I Know Places",1989,12,false,338,195,C:\Users\Ariel\Desktop\ProjectTaylor\1989\1989-12.txt,1
"Clean",1989,13,false,335,245,C:\Users\Ariel\Desktop\ProjectTaylor\1989\1989-13.txt,0
"Wonderland",1989,14,false,473,267,C:\Users\Ariel\Desktop\ProjectTaylor\1989\1989-14.txt,0
"You Are in Love",1989,15,false,415,267,C:\Users\Ariel\Desktop\ProjectTaylor\1989\1989-15.txt,0
"New Romantics",1989,16,false,504,230,C:\Users\Ariel\Desktop\ProjectTaylor\1989\1989-16.txt,0
"Slut!",1989,17,false,338,180,C:\Users\Ariel\Desktop\ProjectTaylor\1989\1989-17.txt,0
"Say Don’t Go",1989,18,false,442,279,C:\Users\Ariel\Desktop\ProjectTaylor\1989\1989-18.txt,0
"Now That We Don’t Talk",1989,19,false,282,146,C:\Users\Ariel\Desktop\ProjectTaylor\1989\1989-19.txt,0
"Suburban Legends",1989,20,false,305,171,C:\Users\Ariel\Desktop\ProjectTaylor\1989\1989-20.txt,0
"Is It Over Now?",1989,21,false,401,229,C:\Users\Ariel\Desktop\ProjectTaylor\1989\1989-21.txt,0
"...Ready For it?",Reputation,1,false,446,208,C:\Users\Ariel\Desktop\ProjectTaylor\Reputation\Reputation1.txt,0
"End Game ft. Ed Sheeran and Future",Reputation,2,false,737,244,C:\Users\Ariel\Desktop\ProjectTaylor\Reputation\Reputation2.txt,0
"I Did Something Bad",Reputation,3,false,478,238,C:\Users\Ariel\Desktop\ProjectTaylor\Reputation\Reputation3.txt,0
"Don’t Blame Me",Reputation,4,false,485,236,C:\Users\Ariel\Desktop\ProjectTaylor\Reputation\Reputation4.txt,0
"Delicate",Reputation,5,false,489,232,C:\Users\Ariel\Desktop\ProjectTaylor\Reputation\Reputation5.txt,1
"Look What You Made Me Do",Reputation,6,false,557,211,C:\Users\Ariel\Desktop\ProjectTaylor\Reputation\Reputation6.txt,0
"So It Goes...",Reputation,7,false,387,227,C:\Users\Ariel\Desktop\ProjectTaylor\Reputation\Reputation7.txt,0
"Gorgeous",Reputation,8,false,438,209,C:\Users\Ariel\Desktop\ProjectTaylor\Reputation\Reputation8.txt,0
"Getaway Car",Reputation,9,false,550,233,C:\Users\Ariel\Desktop\ProjectTaylor\Reputation\Reputation9.txt,0
"King of My Heart",Reputation,10,false,466,214,C:\Users\Ariel\Desktop\ProjectTaylor\Reputation\Reputation10.txt,0
"Dancing With Our Hands Tied",Reputation,11,false,434,211,C:\Users\Ariel\Desktop\ProjectTaylor\Reputation\Reputation11.txt,0
"Dress",Reputation,12,false,491,230,C:\Users\Ariel\Desktop\ProjectTaylor\Reputation\Reputation12.txt,0
"This Is Why We Can’t Have Nice Things",Reputation,13,false,399,207,C:\Users\Ariel\Desktop\ProjectTaylor\Reputation\Reputation13.txt,0
"Call It What You Want",Reputation,14,false,520,203,C:\Users\Ariel\Desktop\ProjectTaylor\Reputation\Reputation14.txt,0
"New Year’s Day",Reputation,15,false,369,235,C:\Users\Ariel\Desktop\ProjectTaylor\Reputation\Reputation15.txt,0
"I Forgot That You Existed",Lover,1,false,293,170,C:\Users\Ariel\Desktop\ProjectTaylor\Lover\Lover1.txt,0
"Cruel Summer",Lover,2,false,441,178,C:\Users\Ariel\Desktop\ProjectTaylor\Lover\Lover2.txt,0
"Lover",Lover,3,false,258,221,C:\Users\Ariel\Desktop\ProjectTaylor\Lover\Lover3.txt,0
"The Man",Lover,4,false,430,190,C:\Users\Ariel\Desktop\ProjectTaylor\Lover\Lover4.txt,0
"The Archer",Lover,5,false,292,211,C:\Users\Ariel\Desktop\ProjectTaylor\Lover\Lover5.txt,0
"I Think He Knows",Lover,6,false,394,173,C:\Users\Ariel\Desktop\ProjectTaylor\Lover\Lover6.txt,0
"Miss Americana & The Heartbreak Prince",Lover,7,false,513,234,C:\Users\Ariel\Desktop\ProjectTaylor\Lover\Lover7.txt,0
"Paper Rings",Lover,8,false,483,222,C:\Users\Ariel\Desktop\ProjectTaylor\Lover\Lover8.txt,0
"Cornelia Street",Lover,9,false,386,287,C:\Users\Ariel\Desktop\ProjectTaylor\Lover\Lover9.txt,0
"Death By A Thousand Cuts",Lover,10,false,430,198,C:\Users\Ariel\Desktop\ProjectTaylor\Lover\Lover10.txt,0
"London Boy",Lover,11,false,443,190,C:\Users\Ariel\Desktop\ProjectTaylor\Lover\Lover11.txt,0
"Soon You’ll Get Better",Lover,12,false,256,201,C:\Users\Ariel\Desktop\ProjectTaylor\Lover\Lover12.txt,0
"False God",Lover,13,false,321,200,C:\Users\Ariel\Desktop\ProjectTaylor\Lover\Lover13.txt,0
"You Need To Calm Down",Lover,14,false,344,171,C:\Users\Ariel\Desktop\ProjectTaylor\Lover\Lover14.txt,0
"Afterglow",Lover,15,false,385,223,C:\Users\Ariel\Desktop\ProjectTaylor\Lover\Lover15.txt,0
"ME! ft. Brendon Urie",Lover,16,false,488,193,C:\Users\Ariel\Desktop\ProjectTaylor\Lover\Lover16.txt,0
"It’s Nice To Have A Friend",Lover,17,false,156,150,C:\Users\Ariel\Desktop\ProjectTaylor\Lover\Lover17.txt,0
